war_num,war_name,war_type_code,war_type,war_subtype,total_participants,start_date,start_year,end_date,end_year,lagging_war,leading_war,ongoing_war,total_days_in_war,start_date_estimated,end_date_estimated,file_name
980.0,Kachin Rebellion,5.0,Intra-State War,Civil War (over local issues),2,2011-06-09,2011,2013-02-01,2013,-8.0,-8.0,0.0,,0.0,0.0,war_num_980_0.json
973.0,Second Cote d'Ivoire War,4.0,Intra-State War,Civil War (for central control),3,2011-02-21,2011,2011-04-11,2011,-8.0,-8.0,0.0,,0.0,0.0,war_num_973_0.json
976.0,Libyan Civil War,4.0,Intra-State War,Civil War (for central control),8,2011-02-18,2011,2011-10-20,2011,-8.0,-8.0,0.0,,0.0,0.0,war_num_976_0.json
971.0,Iraqi Sunni Revolt,4.0,Intra-State War,Civil War (for central control),3,2010-09-01,2010,2014-06-04,2014,482.0,485.0,0.0,,0.0,0.0,war_num_971_0.json
942.0,Second Waziristan War,5.0,Intra-State War,Civil War (over local issues),3,2007-07-03,2007,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_942_0.json
941.0,Second Al-Houthi Rebellion,4.0,Intra-State War,Civil War (for central control),2,2007-01-29,2007,2008-07-16,2008,-8.0,-8.0,0.0,,0.0,0.0,war_num_941_0.json
940.8,Third Somalia War,4.0,Intra-State War,Civil War (for central control),8,2006-10-19,2006,2012-09-29,2012,-8.0,-8.0,0.0,,0.0,0.0,war_num_940_8.json
940.0,Third Sri Lanka Tamil War,5.0,Intra-State War,Civil War (over local issues),2,2006-07-21,2006,2009-05-17,2009,-8.0,-8.0,0.0,,0.0,0.0,war_num_940_0.json
937.0,Chad-United Opposition War,4.0,Intra-State War,Civil War (for central control),3,2005-12-18,2005,2006-12-12,2006,-8.0,-8.0,0.0,,0.0,0.0,war_num_937_0.json
936.0,Second Philippine - NPA War,4.0,Intra-State War,Civil War (for central control),2,2005-01-01,2005,2006-12-31,2006,-8.0,-8.0,0.0,,0.0,0.0,war_num_936_0.json
932.0,First Waziristan War,5.0,Intra-State War,Civil War (over local issues),3,2004-02-24,2004,2006-06-25,2006,-8.0,-8.0,0.0,,0.0,0.0,war_num_932_0.json
935.0,First Al-Houthi Rebellion,4.0,Intra-State War,Civil War (for central control),2,2004-06-20,2004,2005-04-08,2005,-8.0,-8.0,0.0,,0.0,0.0,war_num_935_0.json
933.0,Second Nigeria Christian - Muslim War,7.0,Intra-State War,Intercommunal,2,2004-03-01,2004,2004-09-16,2004,-8.0,-8.0,0.0,,1.0,0.0,war_num_933_0.json
482.0,Iraqi Resistance,3.0,Extra-State War,Imperial (state vs non-state),11,2003-05-03,2003,2021-07-19,2021,227.0,-8.0,1.0,,0.0,0.0,war_num_482_0.json
927.0,Darfur Rebellion,5.0,Intra-State War,Civil War (over local issues),2,2003-02-26,2003,2006-10-14,2006,-8.0,-8.0,0.0,,0.0,0.0,war_num_927_0.json
227.0,Invasion of Iraq,1.0,Inter-State War,Inter-State War,4,2003-03-19,2003,2003-05-02,2003,,,0.0,,0.0,0.0,war_num_227_0.json
926.0,Third Philippine-Moro War,5.0,Intra-State War,Civil War (over local issues),2,2003-02-11,2003,2003-07-19,2003,-8.0,-8.0,0.0,,0.0,0.0,war_num_926_0.json
922.0,Liberia-LURD War,4.0,Intra-State War,Civil War (for central control),2,2002-05-01,2002,2003-08-04,2003,-8.0,-8.0,0.0,,1.0,0.0,war_num_922_0.json
925.0,Cote d'Ivoire Military War,4.0,Intra-State War,Civil War (for central control),3,2002-09-19,2002,2002-10-17,2002,-8.0,-8.0,0.0,,0.0,0.0,war_num_925_0.json
481.0,Afghan Resistance,3.0,Extra-State War,Imperial (state vs non-state),8,2001-12-23,2001,2021-07-19,2021,225.0,-8.0,1.0,,0.0,0.0,war_num_481_0.json
921.0,Nepal Maoist Insurgency,4.0,Intra-State War,Civil War (for central control),2,2001-11-23,2001,2003-01-29,2003,-8.0,-8.0,0.0,,0.0,0.0,war_num_921_0.json
918.0,Third Burundi War,4.0,Intra-State War,Civil War (for central control),3,2001-02-08,2001,2003-10-08,2003,-8.0,-8.0,0.0,,0.0,0.0,war_num_918_0.json
225.0,Invasion of Afghanistan,1.0,Inter-State War,Inter-State War,6,2001-10-07,2001,2001-12-22,2001,,,0.0,,0.0,0.0,war_num_225_0.json
920.0,Fourth Rwanda War,4.0,Intra-State War,Civil War (for central control),2,2001-05-21,2001,2001-09-04,2001,-8.0,-8.0,0.0,,0.0,0.0,war_num_920_0.json
480.0,Al Aqsa Intifada,2.0,Extra-State War,Colonial (conflict with colony),2,2000-09-28,2000,2003-09-09,2003,-8.0,-8.0,0.0,,0.0,0.0,war_num_480_0.json
917.0,Guinean War,4.0,Intra-State War,Civil War (for central control),2,2000-09-02,2000,2001-05-08,2001,-8.0,-8.0,0.0,,0.0,0.0,war_num_917_0.json
916.0,Second Philippine-Moro War,5.0,Intra-State War,Civil War (over local issues),2,2000-02-16,2000,2001-06-22,2001,-8.0,-8.0,0.0,,0.0,0.0,war_num_916_0.json
915.0,Second Chechen War,5.0,Intra-State War,Civil War (over local issues),2,1999-08-07,1999,2003-10-03,2003,-8.0,-8.0,0.0,,0.0,0.0,war_num_915_0.json
912.0,Second Aceh War,5.0,Intra-State War,Civil War (over local issues),2,1999-05-31,1999,2002-12-09,2002,-8.0,-8.0,0.0,,0.0,0.0,war_num_912_0.json
910.0,Maluku War,7.0,Intra-State War,Intercommunal,2,1999-01-19,1999,2002-02-12,2002,-8.0,-8.0,0.0,,0.0,0.0,war_num_910_0.json
913.0,Oromo Liberation War,5.0,Intra-State War,Civil War (over local issues),2,1999-05-30,1999,1999-08-18,1999,-8.0,-8.0,0.0,,0.0,0.0,war_num_913_0.json
223.0,Kargil War,1.0,Inter-State War,Inter-State War,2,1999-05-08,1999,1999-07-17,1999,,,0.0,,0.0,0.0,war_num_223_0.json
221.0,War for Kosovo,1.0,Inter-State War,Inter-State War,8,1999-03-24,1999,1999-06-10,1999,,,0.0,,0.0,0.0,war_num_221_0.json
907.0,Third Angolan War,4.0,Intra-State War,Civil War (for central control),3,1998-12-04,1998,2002-02-22,2002,-8.0,-8.0,0.0,,0.0,0.0,war_num_907_0.json
905.0,Africa's World War,4.0,Intra-State War,Civil War (for central control),11,1998-08-02,1998,2002-12-17,2002,-8.0,-8.0,0.0,,0.0,0.0,war_num_905_0.json
906.0,Chad-Togoimi Revolt,4.0,Intra-State War,Civil War (for central control),2,1998-10-16,1998,2000-12-29,2000,-8.0,-8.0,0.0,,0.0,0.0,war_num_906_0.json
219.0,Badme Border,1.0,Inter-State War,Inter-State War,2,1998-05-06,1998,2000-12-12,2000,,,0.0,,0.0,0.0,war_num_219_0.json
898.0,Second Sierra Leone War,4.0,Intra-State War,Civil War (for central control),6,1998-02-06,1998,2000-11-10,2000,-8.0,-8.0,0.0,,0.0,0.0,war_num_898_0.json
908.0,Second Congo-Brazzaville War,4.0,Intra-State War,Civil War (for central control),3,1998-12-15,1998,1999-11-16,1999,-8.0,-8.0,0.0,,0.0,0.0,war_num_908_0.json
900.0,Kosovo Independence War,5.0,Intra-State War,Civil War (over local issues),2,1998-02-28,1998,1999-03-23,1999,-8.0,221.0,0.0,,0.0,0.0,war_num_900_0.json
902.0,Guinea-Bissau Military War,4.0,Intra-State War,Civil War (for central control),4,1998-06-07,1998,1998-11-01,1998,-8.0,-8.0,0.0,,0.0,0.0,war_num_902_0.json
896.0,Third Rwanda War,4.0,Intra-State War,Civil War (for central control),2,1997-03-17,1997,1998-10-30,1998,-8.0,-8.0,0.0,,0.0,0.0,war_num_896_0.json
897.5,Second Iraqi Kurds Internecine War,7.0,Intra-State War,Intercommunal,2,1997-10-13,1997,1997-11-25,1997,-8.0,-8.0,0.0,,0.0,0.0,war_num_897_5.json
897.0,First Congo-Brazzaville War,4.0,Intra-State War,Civil War (for central control),3,1997-06-05,1997,1997-10-14,1997,-8.0,-8.0,0.0,,0.0,0.0,war_num_897_0.json
479.0,Second PKK in Iraq,3.0,Extra-State War,Imperial (state vs non-state),2,1997-05-14,1997,1997-06-14,1997,-8.0,-8.0,0.0,,0.0,0.0,war_num_479_0.json
895.0,Zaire - AFDL War,4.0,Intra-State War,Civil War (for central control),6,1996-10-08,1996,1997-05-17,1997,-8.0,-8.0,0.0,,0.0,0.0,war_num_895_0.json
893.0,Seventh Iraqi Kurds War,5.0,Intra-State War,Civil War (over local issues),2,1996-08-31,1996,1996-10-23,1996,-8.0,-8.0,0.0,,0.0,0.0,war_num_893_0.json
891.0,Croatia-Krajina War,5.0,Intra-State War,Civil War (over local issues),2,1995-05-01,1995,1995-11-30,1995,-8.0,-8.0,0.0,,1.0,1.0,war_num_891_0.json
217.0,Cenepa Valley,1.0,Inter-State War,Inter-State War,2,1995-01-09,1995,1995-02-27,1995,,,0.0,,0.0,0.0,war_num_217_0.json
888.0,First Chechnya War,5.0,Intra-State War,Civil War (over local issues),2,1994-12-11,1994,1996-08-31,1996,-8.0,-8.0,0.0,,0.0,0.0,war_num_888_0.json
887.5,Second Somaliland War,7.0,Intra-State War,Intercommunal,2,1994-10-16,1994,1995-04-30,1995,-8.0,-8.0,0.0,,0.0,1.0,war_num_887_5.json
887.0,First Iraqi Kurds Internecine War,7.0,Intra-State War,Intercommunal,2,1994-05-01,1994,1995-04-30,1995,-8.0,-8.0,0.0,,0.0,1.0,war_num_887_0.json
886.0,Second Rwanda War,4.0,Intra-State War,Civil War (for central control),2,1994-04-06,1994,1994-07-18,1994,-8.0,-8.0,0.0,,0.0,0.0,war_num_886_0.json
885.0,South Yemeni Secessionist Revolt,5.0,Intra-State War,Civil War (over local issues),2,1994-02-21,1994,1994-07-07,1994,-8.0,-8.0,0.0,,0.0,0.0,war_num_885_0.json
883.0,Second Burundi War,4.0,Intra-State War,Civil War (for central control),2,1993-10-21,1993,1998-07-20,1998,-8.0,-8.0,0.0,,0.0,0.0,war_num_883_0.json
881.0,Third Khmer Rouge War,4.0,Intra-State War,Civil War (for central control),2,1993-01-01,1993,1998-03-26,1998,-8.0,-8.0,0.0,,0.0,0.0,war_num_881_0.json
216.0,Azeri-Armenian,1.0,Inter-State War,Inter-State War,2,1993-02-06,1993,1994-05-12,1994,,,0.0,,0.0,0.0,war_num_216_0.json
882.0,Masisi War,7.0,Intra-State War,Intercommunal,2,1993-03-20,1993,1993-07-31,1993,-8.0,-8.0,0.0,,0.0,1.0,war_num_882_0.json
874.0,Kashmir Insurgency,5.0,Intra-State War,Civil War (over local issues),2,1992-01-01,1992,2005-12-31,2005,-8.0,-8.0,0.0,,0.0,0.0,war_num_874_0.json
875.0,Algeria's Islamic Front War,4.0,Intra-State War,Civil War (for central control),2,1992-02-08,1992,2002-12-31,2002,-8.0,-8.0,0.0,,0.0,1.0,war_num_875_0.json
877.5,Afghanistan Post-Communist War,4.0,Intra-State War,Civil War (for central control),2,1992-06-28,1992,2001-10-06,2001,-8.0,225.0,0.0,,0.0,0.0,war_num_877_5.json
876.0,Tajikistan War,4.0,Intra-State War,Civil War (for central control),3,1992-05-06,1992,1997-06-27,1997,-8.0,-8.0,0.0,,0.0,0.0,war_num_876_0.json
879.0,Second Liberian War,4.0,Intra-State War,Civil War (for central control),6,1992-10-15,1992,1995-08-19,1995,-8.0,-8.0,0.0,,0.0,0.0,war_num_879_0.json
877.0,Bosnian-Serb Rebellion,5.0,Intra-State War,Civil War (over local issues),4,1992-06-06,1992,1995-09-20,1995,215.0,-8.0,0.0,,0.0,0.0,war_num_877_0.json
880.0,Angolan War of the Cities,4.0,Intra-State War,Civil War (for central control),2,1992-10-28,1992,1994-11-15,1994,-8.0,-8.0,0.0,,0.0,0.0,war_num_880_0.json
878.0,Abkhazia Revolt,5.0,Intra-State War,Civil War (over local issues),3,1992-08-18,1992,1993-07-27,1993,-8.0,-8.0,0.0,,0.0,0.0,war_num_878_0.json
215.0,Bosnian Independence,1.0,Inter-State War,Inter-State War,3,1992-04-07,1992,1992-05-13,1992,,,0.0,,0.0,0.0,war_num_215_0.json
874.5,First Somaliland War,7.0,Intra-State War,Intercommunal,2,1992-01-01,1992,1992-08-31,1992,-8.0,-8.0,0.0,,1.0,1.0,war_num_874_5.json
865.0,Turkey-PKK War,5.0,Intra-State War,Civil War (over local issues),2,1991-07-10,1991,1999-11-27,1999,-8.0,-8.0,0.0,,0.0,0.0,war_num_865_0.json
865.8,Second Somalia War,4.0,Intra-State War,Civil War (for central control),8,1991-09-03,1991,1997-12-22,1997,-8.0,-8.0,0.0,,0.0,0.0,war_num_865_8.json
863.0,First Sierra Leone War,4.0,Intra-State War,Civil War (for central control),3,1991-03-23,1991,1996-04-23,1996,-8.0,-8.0,0.0,,0.0,0.0,war_num_863_0.json
871.0,Georgia War,4.0,Intra-State War,Civil War (for central control),2,1991-12-26,1991,1993-12-31,1993,-8.0,-8.0,0.0,,0.0,0.0,war_num_871_0.json
872.0,Nagorno-Karabakh War,5.0,Intra-State War,Civil War (over local issues),3,1991-12-26,1991,1993-02-05,1993,-8.0,216.0,0.0,,0.0,0.0,war_num_872_0.json
873.0,Dniestrian Independence War,5.0,Intra-State War,Civil War (over local issues),3,1991-12-26,1991,1992-07-02,1992,-8.0,-8.0,0.0,,0.0,0.0,war_num_873_0.json
868.0,Jukun - Tiv War,7.0,Intra-State War,Intercommunal,2,1991-10-01,1991,1992-03-31,1992,-8.0,-8.0,0.0,,1.0,1.0,war_num_868_0.json
866.0,SPLM/A Division (Dinka-Nuer) War,7.0,Intra-State War,Intercommunal,2,1991-09-11,1991,1992-03-08,1992,-8.0,-8.0,0.0,,0.0,0.0,war_num_866_0.json
477.0,First PKK in Iraq,3.0,Extra-State War,Imperial (state vs non-state),2,1991-08-04,1991,1992-03-25,1992,-8.0,-8.0,0.0,,0.0,0.0,war_num_477_0.json
864.0,Croatian Independence War,5.0,Intra-State War,Civil War (over local issues),2,1991-05-02,1991,1992-01-02,1992,-8.0,-8.0,0.0,,0.0,0.0,war_num_864_0.json
862.1,Sixth Iraqi Kurds War,5.0,Intra-State War,Civil War (over local issues),2,1991-03-04,1991,1991-10-20,1991,-8.0,-8.0,0.0,,0.0,0.0,war_num_862_1.json
862.0,Iraqi Shiite Rebellion,4.0,Intra-State War,Civil War (for central control),2,1991-03-02,1991,1991-03-31,1991,-8.0,-8.0,0.0,,0.0,0.0,war_num_862_0.json
859.0,Second Sri Lanka Tamil War,5.0,Intra-State War,Civil War (over local issues),2,1990-06-11,1990,1994-10-13,1994,-8.0,-8.0,0.0,,0.0,0.0,war_num_859_0.json
860.0,Bougainville Secessionist War,5.0,Intra-State War,Civil War (over local issues),2,1990-09-22,1990,1991-01-24,1991,-8.0,-8.0,0.0,,0.0,0.0,war_num_860_0.json
211.0,Gulf War,1.0,Inter-State War,Inter-State War,14,1990-08-02,1990,1991-04-11,1991,,,0.0,,0.0,0.0,war_num_211_0.json
858.0,First Aceh War,5.0,Intra-State War,Civil War (over local issues),2,1990-04-01,1990,1991-07-31,1991,-8.0,-8.0,0.0,,1.0,1.0,war_num_858_0.json
853.0,Punjab Rebellion,5.0,Intra-State War,Civil War (over local issues),2,1989-07-01,1989,1993-06-30,1993,-8.0,-8.0,0.0,,0.0,0.0,war_num_853_0.json
851.0,Second Afghan Civil War,4.0,Intra-State War,Civil War (for central control),2,1989-02-16,1989,1992-04-15,1992,476.0,-8.0,0.0,,0.0,0.0,war_num_851_0.json
854.0,Second Khmer Rouge War,4.0,Intra-State War,Civil War (for central control),2,1989-09-26,1989,1991-10-23,1991,475.0,-8.0,0.0,,0.0,0.0,war_num_854_0.json
857.0,First Liberian War,4.0,Intra-State War,Civil War (for central control),5,1989-12-24,1989,1990-11-28,1990,-8.0,-8.0,0.0,,0.0,0.0,war_num_857_0.json
852.0,Chad - Deby War,4.0,Intra-State War,Civil War (for central control),2,1989-04-01,1989,1990-12-02,1990,-8.0,-8.0,0.0,,0.0,0.0,war_num_852_0.json
850.0,Fifth Lebanese War,4.0,Intra-State War,Civil War (for central control),3,1989-02-14,1989,1990-10-13,1990,-8.0,-8.0,0.0,,0.0,0.0,war_num_850_0.json
856.0,Romanian War,4.0,Intra-State War,Civil War (for central control),2,1989-12-18,1989,1989-12-26,1989,-8.0,-8.0,0.0,,0.0,0.0,war_num_856_0.json
849.0,FARC/ELN War,4.0,Intra-State War,Civil War (for central control),2,1988-08-23,1988,2015-07-20,2015,-8.0,-8.0,0.0,,0.0,0.0,war_num_849_0.json
848.0,First Somalia War,4.0,Intra-State War,Civil War (for central control),2,1988-05-26,1988,1991-01-26,1991,-8.0,-8.0,0.0,,0.0,0.0,war_num_848_0.json
846.0,Inkatha-ANC War,7.0,Intra-State War,Intercommunal,2,1987-12-20,1987,1994-04-26,1994,-8.0,-8.0,0.0,,0.0,0.0,war_num_846_0.json
845.5,Fourth Guatemala,4.0,Intra-State War,Civil War (for central control),2,1987-09-01,1987,1990-09-30,1990,-8.0,-8.0,0.0,,1.0,1.0,war_num_845_5.json
845.0,Second Sri Lanka-JVP War,4.0,Intra-State War,Civil War (for central control),2,1987-07-29,1987,1989-12-28,1989,-8.0,-8.0,0.0,,0.0,0.0,war_num_845_0.json
208.0,Sino-Vietnamese Border War,1.0,Inter-State War,Inter-State War,2,1987-01-05,1987,1987-02-06,1987,,,0.0,,0.0,0.0,war_num_208_0.json
207.0,War over the Aouzou Strip,1.0,Inter-State War,Inter-State War,2,1986-11-15,1986,1987-09-11,1987,,,0.0,,0.0,0.0,war_num_207_0.json
843.0,Holy Spirit Movement War,4.0,Intra-State War,Civil War (for central control),2,1986-10-19,1986,1987-11-04,1987,-8.0,-8.0,0.0,,0.0,0.0,war_num_843_0.json
842.0,South Yemen War,4.0,Intra-State War,Civil War (for central control),2,1986-01-13,1986,1986-02-01,1986,-8.0,-8.0,0.0,,0.0,0.0,war_num_842_0.json
840.0,Fifth Iraqi Kurds War,5.0,Intra-State War,Civil War (over local issues),3,1985-01-01,1985,1988-08-28,1988,-8.0,-8.0,0.0,,1.0,0.0,war_num_840_0.json
838.0, First Turkish Kurds War,5.0,Intra-State War,Civil War (over local issues),2,1984-08-14,1984,1986-03-28,1986,-8.0,-8.0,0.0,,0.0,0.0,war_num_838_0.json
837.0,Indian Golden Temple War,5.0,Intra-State War,Civil War (over local issues),2,1984-06-01,1984,1984-07-30,1984,-8.0,-8.0,0.0,,0.0,0.0,war_num_837_0.json
834.0,Second South Sudan War,4.0,Intra-State War,Civil War (for central control),4,1983-05-17,1983,1991-09-10,1991,-8.0,-8.0,0.0,,0.0,0.0,war_num_834_0.json
835.0,First Sri Lanka Tamil War,5.0,Intra-State War,Civil War (over local issues),2,1983-07-23,1983,1985-06-18,1985,-8.0,477.0,0.0,,0.0,0.0,war_num_835_0.json
833.0,Fourth Lebanese War,4.0,Intra-State War,Civil War (for central control),6,1983-04-18,1983,1984-02-29,1984,-8.0,-8.0,0.0,,0.0,0.0,war_num_833_0.json
829.0,Shining Path War,4.0,Intra-State War,Civil War (for central control),2,1982-11-28,1982,1992-09-12,1992,-8.0,-8.0,0.0,,0.0,0.0,war_num_829_0.json
826.0,Tigrean & Eritrean War,5.0,Intra-State War,Civil War (over local issues),2,1982-01-23,1982,1991-05-28,1991,-8.0,-8.0,0.0,,0.0,0.0,war_num_826_0.json
828.0,Contra War,4.0,Intra-State War,Civil War (for central control),2,1982-03-14,1982,1988-03-23,1988,-8.0,-8.0,0.0,,0.0,0.0,war_num_828_0.json
828.3, Uganda-NRA War,4.0,Intra-State War,Civil War (for central control),2,1982-06-01,1982,1986-03-19,1986,-8.0,-8.0,0.0,,1.0,0.0,war_num_828_3.json
205.0,War over Lebanon,1.0,Inter-State War,Inter-State War,2,1982-04-21,1982,1982-09-15,1982,,,0.0,,0.0,0.0,war_num_205_0.json
202.0,Falkland Islands,1.0,Inter-State War,Inter-State War,2,1982-03-25,1982,1982-06-15,1982,,,0.0,,0.0,0.0,war_num_202_0.json
826.5,Hama Uprising,4.0,Intra-State War,Civil War (for central control),2,1982-02-03,1982,1982-02-28,1982,-8.0,-8.0,0.0,,0.0,0.0,war_num_826_5.json
825.0,Mozambique War,4.0,Intra-State War,Civil War (for central control),6,1981-04-10,1981,1992-10-04,1992,-8.0,-8.0,0.0,,0.0,0.0,war_num_825_0.json
824.0,First Philippines - NPA War,4.0,Intra-State War,Civil War (for central control),2,1981-01-17,1981,1986-12-10,1986,-8.0,-8.0,0.0,,0.0,0.0,war_num_824_0.json
476.0,Soviet Quagmire,3.0,Extra-State War,Imperial (state vs non-state),3,1980-02-22,1980,1989-02-15,1989,812.0,851.0,0.0,,0.0,0.0,war_num_476_0.json
199.0,Iran-Iraq,1.0,Inter-State War,Inter-State War,2,1980-09-22,1980,1988-08-20,1988,,,0.0,,0.0,0.0,war_num_199_0.json
820.0,Chad - FAN War,5.0,Intra-State War,Civil War (over local issues),5,1980-03-20,1980,1984-01-31,1984,-8.0,-8.0,0.0,,0.0,0.0,war_num_820_0.json
823.0,Nigeria - Muslim War,5.0,Intra-State War,Civil War (over local issues),2,1980-12-08,1980,1981-01-01,1981,-8.0,-8.0,0.0,,0.0,0.0,war_num_823_0.json
817.0,El Salvador War,4.0,Intra-State War,Civil War (for central control),2,1979-10-15,1979,1992-02-01,1992,-8.0,-8.0,0.0,,0.0,0.0,war_num_817_0.json
475.0,Khmer Insurgency,3.0,Extra-State War,Imperial (state vs non-state),3,1979-01-09,1979,1989-09-25,1989,189.0,857.0,0.0,,0.0,0.0,war_num_475_0.json
816.0,Anti-Khomeini Coalition War,4.0,Intra-State War,Civil War (for central control),2,1979-02-14,1979,1983-12-31,1983,-8.0,-8.0,0.0,,0.0,1.0,war_num_816_0.json
193.0,Sino-Vietnamese Punitive,1.0,Inter-State War,Inter-State War,2,1979-02-17,1979,1979-03-16,1979,,,0.0,,0.0,0.0,war_num_193_0.json
811.0,Third Guatemala War,4.0,Intra-State War,Civil War (for central control),2,1978-05-29,1978,1983-08-08,1983,-8.0,-8.0,0.0,,0.0,0.0,war_num_811_0.json
812.0,Mujahideen Uprising,4.0,Intra-State War,Civil War (for central control),3,1978-07-01,1978,1980-02-21,1980,-8.0,476.0,0.0,,0.0,0.0,war_num_812_0.json
808.0,Second Ogaden War phase 3,5.0,Intra-State War,Civil War (over local issues),4,1978-03-10,1978,1980-12-03,1980,187.0,-8.0,0.0,,0.0,0.0,war_num_808_0.json
815.5,Iranian Islamic Revolution,4.0,Intra-State War,Civil War (for central control),2,1978-11-16,1978,1979-02-12,1979,-8.0,-8.0,0.0,,0.0,0.0,war_num_815_5.json
190.0,Ugandian-Tanzanian,1.0,Inter-State War,Inter-State War,3,1978-10-28,1978,1979-04-11,1979,,,0.0,,0.0,0.0,war_num_190_0.json
815.0,Sandinista Rebellion,4.0,Intra-State War,Civil War (for central control),2,1978-09-09,1978,1979-07-18,1979,-8.0,-8.0,0.0,,0.0,0.0,war_num_815_0.json
810.0,Zaire-FNLC War,4.0,Intra-State War,Civil War (for central control),4,1978-05-11,1978,1978-06-14,1978,-8.0,-8.0,0.0,,0.0,0.0,war_num_810_0.json
809.0,Saur Revolution,4.0,Intra-State War,Civil War (for central control),2,1978-04-27,1978,1978-04-28,1978,-8.0,-8.0,0.0,,0.0,0.0,war_num_809_0.json
807.0,Third Lebanese War,7.0,Intra-State War,Intercommunal,4,1978-02-08,1978,1978-10-04,1978,-8.0,-8.0,0.0,,0.0,0.0,war_num_807_0.json
189.0,Vietnamese-Cambodian,1.0,Inter-State War,Inter-State War,2,1977-09-24,1977,1979-01-08,1979,,,0.0,,0.0,0.0,war_num_189_0.json
187.0,"Second Ogaden War, Phase 2",1.0,Inter-State War,Inter-State War,3,1977-07-23,1977,1978-03-09,1978,,,0.0,,0.0,0.0,war_num_187_0.json
806.8,Chad - FAP War,4.0,Intra-State War,Civil War (for central control),4,1977-06-22,1977,1978-06-30,1978,-8.0,-8.0,0.0,,0.0,1.0,war_num_806_8.json
806.3,Second West Papua War,5.0,Intra-State War,Civil War (over local issues),2,1977-04-20,1977,1978-11-30,1978,-8.0,-8.0,0.0,,0.0,1.0,war_num_806_3.json
804.0,Angolan Control War,4.0,Intra-State War,Civil War (for central control),4,1976-02-13,1976,1991-05-15,1991,186.0,-8.0,0.0,,0.0,0.0,war_num_804_0.json
806.0,East Timorese War phase 3,5.0,Intra-State War,Civil War (over local issues),2,1976-07-18,1976,1979-05-26,1979,472.0,-8.0,0.0,,0.0,0.0,war_num_806_0.json
804.5,Rhodesia War,4.0,Intra-State War,Civil War (for central control),2,1976-05-02,1976,1979-12-28,1979,-8.0,-8.0,0.0,,0.0,0.0,war_num_804_5.json
803.0,Second Laotian War,5.0,Intra-State War,Civil War (over local issues),3,1976-01-01,1976,1979-02-28,1979,-8.0,-8.0,0.0,,1.0,1.0,war_num_803_0.json
805.0,Second Ogaden War phase 1,5.0,Intra-State War,Civil War (over local issues),3,1976-07-01,1976,1977-07-22,1977,-8.0,187.0,0.0,,0.0,0.0,war_num_805_0.json
805.3,Anti-Nimeiry Revolt,4.0,Intra-State War,Civil War (for central control),2,1976-07-02,1976,1976-07-05,1976,-8.0,-8.0,0.0,,0.0,0.0,war_num_805_3.json
